frame,timestamp_s,inference_ms,fps,n_detections,labels
362,50.382,83.33,11.48,1,cell phone
363,50.519,86.49,11.46,0,
364,50.65,84.6,11.45,0,
365,50.785,85.99,11.44,1,cell phone
366,50.919,86.72,11.42,0,
367,51.053,87.09,11.4,0,
368,51.183,83.29,11.42,0,
369,51.315,82.04,11.42,0,
370,51.449,82.56,11.44,0,
371,51.586,86.17,11.45,0,
372,51.743,109.52,11.36,0,
373,51.887,86.77,11.35,0,
374,52.016,82.87,11.38,0,
375,52.15,83.33,11.4,0,
376,52.286,85.58,11.44,0,
377,52.417,83.31,11.46,1,cell phone
378,52.551,83.83,11.47,0,
379,52.684,83.5,11.5,0,
380,52.818,83.98,11.55,0,
381,52.951,83.43,11.63,0,
382,53.085,84.1,11.62,0,
383,53.217,82.63,11.69,0,
384,53.352,84.55,11.71,0,
385,53.485,83.9,11.72,0,
386,53.619,84.28,11.72,0,
387,53.753,85.58,11.73,0,
388,53.885,84.34,11.74,0,
389,54.024,89.41,11.7,0,
390,54.156,87.77,11.68,0,
391,54.287,85.92,11.69,0,
392,54.421,86.58,11.67,0,
393,54.562,93.83,11.64,0,
394,54.694,92.03,11.61,0,
395,54.826,91.15,11.58,0,
396,54.962,93.0,11.55,0,
397,55.086,84.24,11.57,0,
398,55.219,83.16,11.57,0,
399,55.352,83.25,11.56,0,
400,55.485,82.4,11.56,0,
401,55.623,86.76,11.56,0,
402,55.754,84.82,11.67,0,
403,55.885,82.72,11.69,0,
404,56.021,84.5,11.68,0,
405,56.153,83.46,11.68,0,
406,56.286,82.7,11.7,0,
407,56.419,82.94,11.7,0,
408,56.554,84.04,11.7,0,
409,56.687,83.6,11.7,0,
410,56.821,83.78,11.7,0,
411,56.956,85.66,11.69,0,
412,57.086,82.81,11.69,0,
413,57.22,83.33,11.69,0,
414,57.359,88.43,11.67,0,
415,57.487,82.86,11.68,0,
416,57.622,84.48,11.68,0,
417,57.755,83.96,11.68,0,
418,57.889,84.52,11.68,0,
