frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
223,22.694,39.26,25.94,1,0.6821,0.521,28441.0
224,22.795,39.96,25.94,1,0.7792,0.515,30099.0
225,22.893,38.21,25.95,1,0.8248,0.519,28633.0
226,22.993,38.23,25.95,1,0.8382,0.519,27528.0
227,23.094,38.87,25.93,1,0.8383,0.52,26028.0
228,23.195,39.6,25.9,1,0.8425,0.523,23800.0
229,23.29,35.69,25.96,1,0.8665,0.525,17747.0
230,23.393,38.42,25.95,0,0.0,0.0,0.0
231,23.495,39.36,25.92,0,0.0,0.0,0.0
232,23.595,39.38,25.9,0,0.0,0.0,0.0
233,23.689,34.79,26.02,0,0.0,0.0,0.0
234,23.79,35.41,26.12,0,0.0,0.0,0.0
235,23.891,36.1,26.18,0,0.0,0.0,0.0
236,23.989,34.73,26.26,0,0.0,0.0,0.0
237,24.094,37.74,26.18,0,0.0,0.0,0.0
238,24.196,39.64,26.13,0,0.0,0.0,0.0
239,24.297,40.25,26.09,0,0.0,0.0,0.0
240,24.396,40.17,26.05,0,0.0,0.0,0.0
241,24.498,40.35,26.01,0,0.0,0.0,0.0
242,24.597,39.62,25.99,0,0.0,0.0,0.0
243,24.697,39.15,25.99,0,0.0,0.0,0.0
244,24.798,40.2,25.98,0,0.0,0.0,0.0
245,24.896,39.47,25.99,0,0.0,0.0,0.0
246,24.995,38.44,26.01,0,0.0,0.0,0.0
247,25.096,39.36,26.01,0,0.0,0.0,0.0
248,25.196,39.66,25.93,0,0.0,0.0,0.0
249,25.296,39.12,25.92,0,0.0,0.0,0.0
250,25.395,38.84,25.93,0,0.0,0.0,0.0
251,25.496,38.91,25.94,0,0.0,0.0,0.0
252,25.596,39.41,25.9,0,0.0,0.0,0.0
253,25.697,39.5,25.89,0,0.0,0.0,0.0
254,25.797,39.43,25.91,0,0.0,0.0,0.0
255,25.897,39.56,25.88,0,0.0,0.0,0.0
256,25.997,39.87,25.84,0,0.0,0.0,0.0
257,26.097,39.6,25.82,0,0.0,0.0,0.0
258,26.197,39.8,25.82,0,0.0,0.0,0.0
259,26.297,39.6,25.73,0,0.0,0.0,0.0
260,26.398,39.92,25.7,0,0.0,0.0,0.0
261,26.498,39.88,25.69,0,0.0,0.0,0.0
262,26.598,39.85,25.68,0,0.0,0.0,0.0
263,26.697,39.93,25.56,0,0.0,0.0,0.0
264,26.799,40.69,25.45,0,0.0,0.0,0.0
265,26.897,38.91,25.39,0,0.0,0.0,0.0
266,26.998,39.45,25.29,0,0.0,0.0,0.0
267,27.098,39.11,25.26,0,0.0,0.0,0.0
268,27.198,38.96,25.27,0,0.0,0.0,0.0
269,27.298,39.76,25.28,0,0.0,0.0,0.0
270,27.397,38.76,25.31,0,0.0,0.0,0.0
271,27.496,37.52,25.37,0,0.0,0.0,0.0
272,27.598,38.55,25.4,0,0.0,0.0,0.0
273,27.696,37.11,25.44,0,0.0,0.0,0.0
274,27.797,38.75,25.47,0,0.0,0.0,0.0
275,27.898,39.33,25.48,0,0.0,0.0,0.0
276,27.997,38.37,25.48,0,0.0,0.0,0.0
277,28.097,38.42,25.5,0,0.0,0.0,0.0
278,28.198,39.2,25.51,0,0.0,0.0,0.0
279,28.298,38.91,25.51,0,0.0,0.0,0.0
280,28.397,38.86,25.51,0,0.0,0.0,0.0
281,28.498,38.45,25.52,0,0.0,0.0,0.0
282,28.595,36.2,25.59,0,0.0,0.0,0.0
283,28.695,36.63,25.65,0,0.0,0.0,0.0
284,28.798,38.72,25.67,0,0.0,0.0,0.0
285,28.898,38.41,25.7,0,0.0,0.0,0.0
286,28.998,38.51,25.73,0,0.0,0.0,0.0
287,29.099,39.36,25.73,0,0.0,0.0,0.0
288,29.199,39.34,25.74,0,0.0,0.0,0.0
289,29.299,39.1,25.75,0,0.0,0.0,0.0
290,29.4,39.44,25.76,0,0.0,0.0,0.0
291,29.498,38.12,25.8,0,0.0,0.0,0.0
292,29.599,38.41,25.83,0,0.0,0.0,0.0
293,29.699,39.21,25.85,0,0.0,0.0,0.0
294,29.797,36.23,25.95,0,0.0,0.0,0.0
295,29.897,37.29,25.99,0,0.0,0.0,0.0
296,29.998,38.35,26.01,0,0.0,0.0,0.0
297,30.099,38.93,26.01,0,0.0,0.0,0.0
298,30.201,40.14,25.99,0,0.0,0.0,0.0
299,30.3,38.97,26.01,0,0.0,0.0,0.0
300,30.4,39.31,25.99,0,0.0,0.0,0.0
301,30.494,34.84,26.05,0,0.0,0.0,0.0
302,30.599,38.28,26.06,0,0.0,0.0,0.0
303,30.698,38.22,26.03,0,0.0,0.0,0.0
304,30.801,38.91,26.03,0,0.0,0.0,0.0
305,30.896,36.3,26.1,0,0.0,0.0,0.0
306,30.994,34.67,26.18,0,0.0,0.0,0.0
307,31.1,38.95,26.17,0,0.0,0.0,0.0
308,31.199,38.23,26.19,0,0.0,0.0,0.0
309,31.3,39.18,26.19,0,0.0,0.0,0.0
310,31.401,39.45,26.17,0,0.0,0.0,0.0
311,31.501,39.7,26.15,0,0.0,0.0,0.0
312,31.601,39.04,26.08,0,0.0,0.0,0.0
313,31.701,39.29,26.02,0,0.0,0.0,0.0
314,31.8,38.15,26.03,0,0.0,0.0,0.0
315,31.901,39.57,26.01,0,0.0,0.0,0.0
316,32.001,38.97,26.0,0,0.0,0.0,0.0
317,32.101,39.34,26.0,0,0.0,0.0,0.0
318,32.201,39.0,26.01,0,0.0,0.0,0.0
319,32.298,37.1,26.05,0,0.0,0.0,0.0
320,32.397,35.98,26.13,0,0.0,0.0,0.0
321,32.495,34.15,26.22,0,0.0,0.0,0.0
322,32.6,37.83,26.23,0,0.0,0.0,0.0
323,32.701,38.41,26.25,0,0.0,0.0,0.0
324,32.801,39.26,26.18,0,0.0,0.0,0.0
